EC,annual_mean_temp,annual_prec,clay_b0,continent,elevation,elevation_stdDev,fapar,id,lat,lon,lower_depth,ph_b0,sand_b0,slope,soilWater_b0,texture_b0,upper_depth,year
3.1284315,15645.667,215,34,Africa,638,0.9428090415820634,21,24220,3.130376,36.65987,15,84,44,2.8865802,11,4,6.4940615,1958
1.9862744808197021,15673.5,112,0,Africa,495,16.97056274847714,3,6662,14.875671,28.480843,15,80,98,0.5646897,1,12,8.750001,1961
1.1705880165100098,15027.25,1642,20,Africa,75,0,189,23103,6.6868486,5.6800213,15,52,70,0.13902016,26,6,10.53644,1963
1.7950979471206665,15117.333,753,30,Africa,1495,0,107,21235,-6.070576,33.762802,15,57,56,1.2150831,16,6,0.024966054,1964
2.6039214999999998,15302.5,411,15,Africa,1022,2.3570226039551585,65,19223,-22.42056,26.913525,15,62,76,0.2947506,8,9,13.913354,1965
1.7088235,15367.667,920,19,Africa,589,24.513035081133648,131,12948,-15.001917,35.031292,15,59,73,1.8157893,19,9,4.587678,1966
2.1215685,15698.25,651,21,Africa,634,1.4142135623730951,46,17165,12.256014,22.868994,15,72,64,0.41296023,17,6,12.544827,1966
2.0274510383605957,15275.083,681,47,Africa,1627,11.16321118454109,86,22609,-4.6079087,35.1763,15,67,33,1.3167621,20,1,5.268732,1966
1.2176469564437866,15015.25,1820,24,Africa,582,0.9428090415820634,212,15738,-2.2044122,26.08228,15,51,59,0.13834383,23,6,2,1967
1.219607949256897,15163.917,1463,22,Africa,355,1.0540925533894598,206,1606,-3.9276276,18.443466,15,52,61,0.11165228,17,6,11.448651,1968
0.9970589876174927,15067.833,1285,27,Africa,537,7.0710678118654755,140,10231,6.2235656,17.556885,15,56,51,0.8818603,35,6,8.865619,1968
1.0392155,15030.25,1885,25,Africa,421,0,208,15799,-1.143277,21.01858,15,44,66,0.030922545,30,6,10.765939,1968
1.7088235,15182.75,986,18,Africa,1351,3.281071791148961,117,17219,-14.386417,14.892284,15,57,75,1.118676,11,9,2,1969
1.1254899501800537,15007.75,1529,28,Africa,458,1.0540925533894598,213,23610,-4.281526,22.717411,15,49,57,0.09801204,21,6,8.375155,1969
