EC,aet,continent,id,lat,lon,lower_depth,max_temp,min_temp,pet,upper_depth,wtd,year
2.635293960571289,426.99004975124376,Northern America,16780,46.516254,-96.7116,55.937077,117.91666666666667,-2.655472637,702.002487562189,41.47089,6.267528533935547,1956
2.3460785,338.5,Europe,9546,48.63009,38.374645,53.26156,120,38.75,639.0833333333334,41.064945,56.977935791015625,1961
1.6441175000000001,276.3333333333333,Northern America,19070,42.872063,-103.03027,59.149197,167.41666666666666,3.5,919.6666666666666,55.94951,8.520904541015625,1970
3.4009804725646973,328.25,Africa,10675,12.272252,13.905846,59,353.0833333333333,198.66666666666666,1757.8333333333333,37.725407,1.5024608373641968,1971
1.7137255,655.75,Africa,18746,-4.3580513,33.62084,43.4756,286.6666666666667,174.75,1415.25,33.370773,17.4803409576416,1977
1.8529410362243652,654.25,Northern America,23926,40.13212,-92.91089,57,171.91666666666666,50.916666666666664,889.25,35.77799,22.92420196533203,1977
1.7352940000000001,212.66666666666666,Northern America,17298,41.86181,-121.72012,53.46109,164.33333333333334,10,872.8333333333334,47.68854,10.408734321594238,1980
1.4264705181121826,482.3333333333333,Northern America,23599,43.196133,-79.61288,52.4988,123.58333333333333,33.25,615.25,50.61592,23.758136749267578,1980
3.3607845000000003,395.5833333333333,Africa,15365,-17.946136,24.437286,51.71395,317.8333333333333,153,1591.6666666666667,31.709732,7.410391807556152,1984
2.335294008255005,544.6666666666666,Northern America,17892,22.052513,-102.53273,54.202343,237.5,71.91666666666667,1214.25,37,118.90996551513672,1986
1.7470589876174927,236.58333333333334,Northern America,11921,44.811855,-114.35132,57,105.5,-74.83333333,587.4166666666666,37,850.4616088867188,1987
2.5509804999999997,116.75,Northern America,15887,41.148743,-110.74115,59,125,-37.66666667,823.6666666666666,35.65101,32.97283935546875,1988
1.6441175000000001,784.9166666666666,Northern America,13092,36.950134,-92.58038,57.5757,212.91666666666666,76.5,943.1666666666666,31.857565,62.397247314453125,1991
1.4843134880065918,389,Northern America,19908,43.637222,-103.73832,59,148.83333333333334,-4.833333333,849.75,35.268818,129.88702392578125,1991
2.8147060871124268,,Oceania,17429,-35.541096,139.06586,57.817425,,,,33.51515,,1992
1.928431510925293,660.4166666666666,Northern America,24946,31.51055,-97.942924,59,247.25,121,1227.9166666666667,32.55783,15.312108993530273,2001
1.5107845000000002,719.3333333333334,Northern America,23567,20.136892,-102.9343,57,271.8333333333333,113.41666666666667,1198.4166666666667,46.099422,259.6922607421875,2002
1.280392050743103,712.6666666666666,Northern America,12156,22.711193,-105.555466,55.444607,310.1666666666667,201.41666666666666,1300.5,39.02789,50.68413162231445,2003
2.5509804999999997,314.4166666666667,Northern America,17380,31.188486,-110.03275,55.951443,251.83333333333334,99.5,1429.3333333333333,37,192.96498107910156,2003
1.6441175000000001,596.1666666666666,Northern America,22657,19.926346,-98.06564,57,212.33333333333334,60,1088.6666666666667,46.2871,205.6092071533203,2003
3.1186275482177734,242.16666666666666,Northern America,13083,26.387648,-103.79905,58.15325,285.5833333333333,122.5,1259.25,47.014576,2.0208001136779785,2004
3.0999999999999996,431.0833333333333,Northern America,20637,47.861763,-98.632484,49.930115,100.58333333333333,-24.66666667,594.6666666666666,39.212475,23.57236671447754,2004
2.936274528503418,205.66666666666666,Northern America,20540,26.41814,-104.47013,57,284.75,102.33333333333333,1328,38.5431,131.81039428710938,2005
2.167646884918213,429.1666666666667,Northern America,22091,44.778522,-97.19421,40,118.16666666666667,-12.16666667,719.3333333333334,30.399742,21.045305252075195,1966
