EC,annual_mean_temp,annual_prec,clay_b60,continent,elevation,elevation_stdDev,fapar,id,lat,lon,lower_depth,ph_b60,sand_b60,slope,soilWater_b60,texture_b60,upper_depth,year
2.3686275482177734,15532.167,623,33,Africa,310,0.49690399500284566,55,337,11.09089,15.865587,79.82865,63,47,0.0441401,23,6,60,1971
3.1431374549865723,15409.083,422,21,Africa,1102,0.4714045207910317,64,609,-21.444532,22.18857,81.48261,71,68,0.073273875,17,6,60,1971
3.244117498397827,15576.417,425,42,Africa,274,4.242640687119285,38,673,12.44353,13.827322,63.299114,77,33,0.33409235,65,1,60,1971
3.0245100000000003,15327.083,650,18,Africa,1089,1.7284832428738417,91,756,-17.56455,20.816208,82.799545,63,77,0.18549754,14,9,60,1971
2.9147060000000002,15573.25,438,37,Africa,297,5.2493385826745405,38,788,12.341113,14.748917,67.77853,76,45,0.51812327,32,3,60,1971
3.6049020290374756,15542,440,43,Africa,296,2.3570226039551585,41,800,12.288115,13.7743845,65.71465,71,36,0.63112205,53,1,60,1971
2.1019608974456787,15548.917,27,0,Africa,344,0.9428090415820634,-32768,910,18.12602,14.930956,79.99247,80,99,0.09828866,0,12,60,1971
3.350980520248413,15570.167,441,62,Africa,281,4.288946459025726,42,1476,12.301249,13.898466,86.84924,71,25,0.123665266,64,1,60,1971
2.9460785388946533,15607.417,418,33,Africa,292,0,38,2418,12.494547,14.181498,89.043846,81,53,0.2879817,30,6,60,1971
2.6696081161499023,15534.75,643,33,Africa,306,0,57,3019,10.945384,14.695269,87.5787,71,43,0.20816664,27,4,60,1971
2.532352924346924,15592.583,440,35,Africa,295,0,37,3267,12.150152,15.797389,73.59751,63,50,0.031625252,23,3,60,1971
2.877450942993164,15593.333,457,49,Africa,283,5.185449728701348,42,4024,12.212229,14.730571,89.609024,74,28,0.5013645,45,1,60,1971
3.2813725000000002,15578.417,444,60,Africa,284,0.9428090415820634,41,4248,12.298159,14.076529,87.1835,76,22,0.044238556,58,1,60,1971
