EC,annual_mean_temp,annual_prec,clay_b30,continent,elevation,elevation_stdDev,fapar,id,lat,lon,lower_depth,ph_b30,sand_b30,slope,soilWater_b30,texture_b30,upper_depth,year
2.635293960571289,14269,583,24,Northern America,287,0.4714045207910317,93,16780,46.516254,-96.7116,55.937077,70,39,0.22673528,23,7,41.47089,1956
2.3460785,14421.083,504,27,Europe,254,1.8856180831641267,98,9546,48.63009,38.374645,53.26156,69,32,1.0078262,29,7,41.064945,1961
1.6441175000000001,14757.417,398,27,Northern America,1006,0,60,19070,42.872063,-103.03027,59.149197,77,36,0.20378238,24,7,55.94951,1970
3.4009804725646973,15579.25,445,49,Africa,291,0,42,10675,12.272252,13.905846,59,72,33,0.40158582,47,1,37.725407,1971
1.7137255,15412.417,784,24,Africa,1197,2.3570226039551585,98,18746,-4.3580513,33.62084,43.4756,58,66,0.81552726,12,6,33.370773,1977
1.8529410362243652,14564.083,1008,37,Northern America,310,1.4142135623730951,118,23926,40.13212,-92.91089,57,57,16,0.29785135,24,5,35.77799,1977
1.7352940000000001,14792.167,307,22,Northern America,1272,0,30,17298,41.86181,-121.72012,53.46109,76,49,4.421852,29,7,47.68854,1980
1.4264705181121826,14333.417,821,21,Northern America,105,0,132,23599,43.196133,-79.61288,52.4988,59,39,3.2650402,23,7,50.61592,1980
3.3607845000000003,15444.833,589,32,Africa,925,0,89,15365,-17.946136,24.437286,51.71395,74,54,0.09827746,22,6,31.709732,1984
2.335294008255005,15204.917,637,37,Northern America,2212,24.041630560342615,87,17892,22.052513,-102.53273,54.202343,62,42,1.5288686,29,4,37,1986
1.7470589876174927,13903.083,299,15,Northern America,2621,28.75567576825293,81,11921,44.811855,-114.35132,57,59,53,13.474362,22,9,37,1987
2.5509804999999997,14416.75,263,23,Northern America,2313,1.247219128924647,51,15887,41.148743,-110.74115,59,72,42,0.051394347,23,7,35.65101,1988
1.6441175000000001,14658.667,1115,24,Northern America,392,12.727922061357855,145,13092,36.950134,-92.58038,57.5757,53,22,1.0334362,23,8,31.857565,1991
1.4843134880065918,14465.083,416,20,Northern America,1483,0,72,19908,43.637222,-103.73832,59,68,43,2.8915784,25,7,35.268818,1991
1.928431510925293,15074.667,811,34,Northern America,302,0.9428090415820634,122,24946,31.51055,-97.942924,59,71,33,0.83782715,22,4,32.55783,2001
1.5107845000000002,14976.25,917,38,Northern America,1994,50.44028372464039,111,23567,20.136892,-102.9343,57,60,38,4.873609,35,4,46.099422,2002
1.280392050743103,15198.75,1223,33,Northern America,169,13.199326582148887,150,12156,22.711193,-105.555466,55.444607,58,44,2.3712347,38,4,39.02789,2003
2.5509804999999997,15258.833,417,34,Northern America,1562,0,58,17380,31.188486,-110.03275,55.951443,70,44,2.023347,23,4,37,2003
1.6441175000000001,15134.25,1183,36,Northern America,2535,13.587394303185926,129,22657,19.926346,-98.06564,57,67,37,1.8592978,35,4,46.2871,2003
3.1186275482177734,15622.083,219,32,Northern America,1120,0,16,13083,26.387648,-103.79905,58.15325,83,35,0.070812255,11,4,47.014576,2004
3.0999999999999996,14194.75,479,17,Northern America,457,0,89,20637,47.861763,-98.632484,49.930115,76,61,0.27820754,20,9,39.212475,2004
2.936274528503418,15451,295,31,Northern America,1440,4.714045207910317,34,20540,26.41814,-104.47013,57,81,49,1.5094916,21,6,38.5431,2005
2.167646884918213,14404.75,585,24,Northern America,533,0,90,22091,44.778522,-97.19421,40,66,32,0.5800398,24,7,30.399742,1966
1.7323529720306396,14803.25,323,18,Northern America,360,1.8856180831641267,52,11800,45.727207,-119.01524,40,74,32,1.3285292,26,7,34.275707,1974
2.9490195,15893.417,292,36,Asia,548,1.8856180831641267,17,9123,15.011748,35.193344,40,79,43,0.40725002,13,4,34.0809,1987
2.0999999046325684,15281.333,591,35,Northern America,2068,12.727922061357855,78,16181,24.356226,-104.3026,40,68,44,1.9379123,28,4,37,1989
2.0411764999999997,15060.75,152,18,Northern America,1282,10.368518353147289,5,9351,40.79329,-118.80192,41,84,53,0.7397723,20,9,37,1972
2.0519609451293945,15353,613,32,Northern America,172,1.4142135623730951,100,21176,25.35261,-99.20163,41,85,38,0.2110776,23,4,32.794613,2004
1.5764704942703247,15087.917,931,32,Northern America,167,6.919287767528903,136,10172,30.42757,-97.32523,43,65,37,0.58617014,22,4,32.349174,1959
1.107843041419983,14300.667,569,21,Europe,745,0.9428090415820634,128,12343,46.640152,25.567728,43,63,36,0.76349443,26,7,33.530006,1974
