X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
138.4939914,-32.38298252,45.0,80.0,20.5,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-108.5866699,36.2147217,61.0,84.0,2.7,US-NCSS,Northern America,Northern America,Unknown
-115.312973,45.7835846,31.0,151.0,0.5,US-NCSS,Northern America,Northern America,Unknown
-100.1697082,23.27027392,80.0,105.0,0.7,MX-INEGI,Central America,Northern America,Unknown
-82.98347473,39.61677933,80.0,107.0,0.3,US-NCSS,Northern America,Northern America,Unknown
-102.8944444,47.5308333,56.0,107.0,0.4,US-NCSS,Northern America,Northern America,Unknown
-99.5386124,38.9766655,79.0,117.0,0.9,US-NCSS,Northern America,Northern America,Unknown
-120.7955551,35.3022232,84.0,119.0,2.7,US-NCSS,Northern America,Northern America,Unknown
-95.43742535,16.02272712,65.0,97.0,0.6,MX-INEGI,Central America,Northern America,Unknown
17.44,48.88972222,86.0,111.0,0.0,EU-SOTER,Eastern Europe,Europe,Unknown
34.6,0.23,90.0,140.0,0.0,KE-SOTER,Eastern Africa,Africa,Unknown
17.766667,7.533333,88.0,143.0,0.1,WD-WISE,Middle Africa,Africa,Unknown
-108.3097229,36.8022232,81.0,102.0,0.4,US-NCSS,Northern America,Northern America,Unknown
42.823884,0.27916,25.0,75.0,2.8,WD-WISE,Eastern Africa,Africa,Unknown
9.516667,4.633333,25.0,150.0,0.0,AF-AfSP,Middle Africa,Africa,Unknown
-81.13333333,22.81666667,90.0,128.0,0.0,WD-WISE,Caribbean,Northern America,Unknown
-104.2661133,44.9186096,56.0,152.0,5.8,US-NCSS,Northern America,Northern America,Unknown
-75.6937256,37.7236252,20.0,89.0,3.0,US-NCSS,Northern America,Northern America,Unknown
140.0902733,-35.41099165,88.0,170.0,2.2,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-103.2351629,24.90080589,54.0,87.0,2.0,MX-INEGI,Central America,Northern America,Unknown
139.8365739,-35.20774033,41.0,102.0,0.7,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-105.541006,26.05356749,84.0,119.0,0.1,MX-INEGI,Central America,Northern America,Unknown
35.212612,-2.712389,70.0,75.0,15.6,AF-AfSP,Eastern Africa,Africa,Unknown
-91.58787024,17.48319031,28.0,125.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-70.96666667,-17.2,73.0,98.0,0.9,WD-WISE,South America,South America,Unknown
-96.8416672,28.7380562,94.0,138.0,0.6,US-NCSS,Northern America,Northern America,Unknown
-94.2839876,18.13740194,95.0,115.0,0.0,MX-INEGI,Central America,Northern America,Unknown
1.736389,13.109444,64.0,151.0,0.1,WD-WISE,Western Africa,Africa,Unknown
-108.1867556,25.23970291,56.0,77.0,8.5,MX-INEGI,Central America,Northern America,Unknown
-112.2223969,33.8520088,50.0,70.0,1.0,US-NCSS,Northern America,Northern America,Unknown
140.9649203,-34.89923263,80.0,115.0,3.9,AU-CSIRO,Australia and New Zealand,Oceania,Unknown
-101.9608769,22.85502883,43.0,69.0,2.0,MX-INEGI,Central America,Northern America,Unknown
99.4833298,14.5,46.0,75.0,0.1,WD-WISE,South-Eastern Asia,Asia,Unknown
-106.4570156,30.64386592,93.0,122.0,0.1,MX-INEGI,Central America,Northern America,Unknown
22.39972222,55.06972222,85.0,200.0,0.0,EU-SOTER,Northern Europe,Europe,Unknown
-99.70601107,26.90752201,65.0,105.0,0.7,MX-INEGI,Central America,Northern America,Unknown
