X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-98.7656928,22.09440205,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1979
-101.1462277,19.67561248,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-111.9330647,30.95464918,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2003
26.95667,-28.46,0.0,20.0,1.6,SAF-SOTER,Southern Africa,Africa,1972
-66.8902778,17.9994444,0.0,20.0,1.2,US-NCSS,Caribbean,Northern America,1985
13.747393,12.383726,20.0,60.0,1.4,AF-AfSP,Western Africa,Africa,1971
21.3741,-18.0543,0.0,20.0,2.3,NA-NAMSOTER,Southern Africa,Africa,1999
18.44470024,-17.42329979,0.0,20.0,22.4,NA-NAMSOTER,Southern Africa,Africa,Unknown
-115.5785379,30.98854581,0.0,20.0,0.0,MX-INEGI,Central America,Northern America,2004
-103.0388775,27.41633053,0.0,20.0,2.2,MX-INEGI,Central America,Northern America,2005
16.04829979,-17.4496994,0.0,20.0,2.6,NA-NAMSOTER,Southern Africa,Africa,Unknown
39.25,-4.27,0.0,20.0,0.0,KE-SOTER,Eastern Africa,Africa,Unknown
-90.30345745,19.98588364,0.0,20.0,0.3,MX-INEGI,Central America,Northern America,2003
-94.64760368,18.06739951,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2004
-115.762339,30.70389599,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-113.6629767,28.44613261,0.0,60.0,5.0,MX-INEGI,Central America,Northern America,Unknown
139.7987747,-37.06885926,0.0,20.0,0.6,AU-CSIRO,Australia and New Zealand,Oceania,2004
35.17704773,-0.703068018,20.0,60.0,0.1,WD-WISE,Eastern Africa,Africa,1978
134.6262665,-33.08807395,0.0,20.0,0.7,AU-CSIRO,Australia and New Zealand,Oceania,1993
140.3377669,-36.94458631,20.0,60.0,1.2,AU-CSIRO,Australia and New Zealand,Oceania,1994
-99.6816635,32.7505569,25.0,45.0,0.5,US-NCSS,Northern America,Northern America,1980
-111.9747696,46.6226768,0.0,20.0,2.4,WD-WISE,Northern America,Northern America,1976
-107.458809,24.79930454,20.0,60.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-120.0129157,36.5505023,0.0,20.0,1.5,US-NCSS,Northern America,Northern America,1994
139.7063237,-33.80241797,25.0,45.0,4.8,AU-CSIRO,Australia and New Zealand,Oceania,1996
15.87469959,-17.88689995,0.0,20.0,8.3,NA-NAMSOTER,Southern Africa,Africa,Unknown
-98.34381384,21.0128783,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
13.747393,12.383726,0.0,20.0,3.0,AF-AfSP,Western Africa,Africa,1971
-113.0042696,31.65370149,24.0,48.0,2.0,MX-INEGI,Central America,Northern America,1979
40.25889,-13.12556,0.0,20.0,0.1,SAF-SOTER,Eastern Africa,Africa,1994
1.856667,13.621944,0.0,20.0,0.0,WD-WISE,Western Africa,Africa,Unknown
22.39972222,55.06972222,0.0,20.0,0.0,EU-SOTER,Northern Europe,Europe,1975
-118.0277778,39.2833333,9.0,17.0,0.6,US-NCSS,Northern America,Northern America,1972
37.8333,2.4833,20.0,60.0,0.2,KE-SOTER,Eastern Africa,Africa,1982
-113.0613288,27.27356622,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-95.7986145,45.6824989,0.0,20.0,0.6,US-NCSS,Northern America,Northern America,1987
113.72929,-24.84158,0.0,20.0,58.0,AU-CSIRO,Australia and New Zealand,Oceania,1988
-103.6036148,35.1591682,0.0,20.0,2.6,US-NCSS,Northern America,Northern America,1991
39.37,-4.33,0.0,20.0,0.0,KE-SOTER,Eastern Africa,Africa,Unknown
-109.2676468,39.45830536,0.0,20.0,0.65,US-NCSS,Northern America,Northern America,1999
-117.6040039,40.0451813,9.0,17.0,1.6,US-NCSS,Northern America,Northern America,1972
-98.8244476,37.791111,0.0,20.0,0.2,US-NCSS,Northern America,Northern America,1988
-95.3852463,39.1519737,0.0,20.0,1.0,US-NCSS,Northern America,Northern America,2005
35.039444,-4.297778,0.0,20.0,0.2,WD-WISE,Eastern Africa,Africa,1979
-112.032513,28.89145193,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2004
-103.8306938,24.43118082,0.0,20.0,0.4,MX-INEGI,Central America,Northern America,2005
9.917499542,36.83388138,0.0,20.0,1.7,US-NCSS,Northern Africa,Africa,1986
100.0072222,19.95361111,0.0,20.0,0.0,WD-WISE,South-Eastern Asia,Asia,Unknown
-98.22985861,18.59336605,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-98.39665491,20.11907513,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2003
34.75,-2.5,0.0,20.0,0.5,AF-AfSP,Eastern Africa,Africa,1974
-96.4772186,38.3619461,0.0,20.0,0.6,US-NCSS,Northern America,Northern America,1983
-103.114314,23.68666359,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2004
-114.2815652,32.31678859,0.0,60.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-94.5161667,29.7306083,0.0,20.0,1.4,US-NCSS,Northern America,Northern America,2010
-87.48106227,20.0446863,28.0,36.0,0.2,MX-INEGI,Central America,Northern America,2003
-118.2163925,36.9269447,27.0,39.0,4.1,US-NCSS,Northern America,Northern America,1986
140.0486451,-36.08911905,25.0,45.0,0.8,AU-CSIRO,Australia and New Zealand,Oceania,2003
-101.4347229,33.9616661,0.0,20.0,0.9,US-NCSS,Northern America,Northern America,1999
14.91899967,-17.63389969,0.0,20.0,13.8,NA-NAMSOTER,Southern Africa,Africa,Unknown
-98.9894645,17.71965101,0.0,20.0,0.2,MX-INEGI,Central America,Northern America,2003
-104.2559564,23.04057425,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-103.3010258,21.83672267,0.0,20.0,1.0,MX-INEGI,Central America,Northern America,Unknown
-98.9722214,27.6027775,23.0,51.0,4.1,US-NCSS,Northern America,Northern America,1979
-106.401304,26.42062937,0.0,20.0,2.0,MX-INEGI,Central America,Northern America,1989
-76.16666667,20.33333333,25.0,45.0,0.1,WD-WISE,Caribbean,Northern America,1991
-98.3286133,45.3544426,0.0,20.0,0.9,US-NCSS,Northern America,Northern America,1974
-103.6535029,28.25650064,0.0,20.0,0.1,MX-INEGI,Central America,Northern America,2003
128.820388,-15.457541,0.0,20.0,0.3,AU-CSIRO,Australia and New Zealand,Oceania,2010
-121.4508362,42.1952782,0.0,20.0,9.9,US-NCSS,Northern America,Northern America,1967
