X,Y,upper_depth,lower_depth,value_avg,dataset_id,region,continent,date
-113.0875015,37.314724,23,42,0.2,US-NCSS,Northern America,Northern America,1970
-97.3280556,48.2680556,0,30,1.3,US-NCSS,Northern America,Northern America,2007
-116.9261093,34.4933319,0,8,50.5,US-NCSS,Northern America,Northern America,1955
-115.7583515,31.25769692,13,28,1.0,MX-INEGI,Central America,Northern America,Unknown
-47.83333333,-15.90888889,12,35,0.0,WD-WISE,South America,South America,1986
138.9599534,-34.5438601,10,74,0.6,AU-CSIRO,Australia and New Zealand,Oceania,1992
13.780963,12.380488,0,22,0.3,AF-AfSP,Western Africa,Africa,1971
-112.8669434,44.6669426,24,41,0.7,WD-WISE,Northern America,Northern America,1998
-103.3649826,41.7588654,5,8,1.8,US-NCSS,Northern America,Northern America,1962
-104.9683321,21.87593688,24,40,1.0,MX-INEGI,Central America,Northern America,1971
-111.9763593,29.5769839,0,14,2.0,MX-INEGI,Central America,Northern America,1983
-87.5833359,14.3166666,0,14,0.1,WD-WISE,Central America,Northern America,1983
-15.5,15.333333,28,58,0.1,AF-AfSP,Western Africa,Africa,1958
101.5372238,13.5041666,10,20,0.0,WD-WISE,South-Eastern Asia,Asia,1987
-108.5338733,30.97808045,30,62,3.0,MX-INEGI,Central America,Northern America,1984
138.5099959,-35.26750667,11,20,0.7,AU-CSIRO,Australia and New Zealand,Oceania,1995
139.6298401,-36.04160952,20,40,0.2,AU-CSIRO,Australia and New Zealand,Oceania,1995
-97.29309428,20.33213,15,32,1.0,MX-INEGI,Central America,Northern America,Unknown
-112.1580582,40.6063881,0,8,0.6,US-NCSS,Northern America,Northern America,1967
-101.6799364,17.8081227,6,34,2.0,MX-INEGI,Central America,Northern America,1985
28.183333,-13.516667,0,6,0.0,WD-WISE,Eastern Africa,Africa,1977
27.72333,-27.04667,0,70,0.7,ZA-SOTER,Southern Africa,Africa,1977
-75.8194962,37.5821152,25,76,3.0,US-NCSS,Northern America,Northern America,2009
-108.4938095,29.62949133,16,41,1.0,MX-INEGI,Central America,Northern America,Unknown
40.310714,-10.493008,0,33,0.1,AF-AfSP,Eastern Africa,Africa,1976
-100.7586136,38.3028336,0,13,1.0,US-NCSS,Northern America,Northern America,Unknown
117.936089,-20.799203,5,40,36.5,AU-CSIRO,Australia and New Zealand,Oceania,1987
-83.6462708,43.5241699,0,15,1.3,US-NCSS,Northern America,Northern America,1981
-108.6436081,35.5977783,8,33,0.7,US-NCSS,Northern America,Northern America,Unknown
-97.96400452,46.2352562,30,61,0.7,US-NCSS,Northern America,Northern America,Unknown
37.366667,-1.872778,0,20,0.0,AF-AfSP,Eastern Africa,Africa,1978
-108.7030221,25.47914629,0,5,9.3,MX-INEGI,Central America,Northern America,1999
